"Sample","Class","CP647","CP876","CP596","CP606","CP608","CP555","CP600","CP562","CP597","CP636","CP617","CP595","CP602","CP2492","CP590","CP609","CP615","CP603","CP610","CP1101","CP885","CP589","CP3097","CP549","CP1097","CP573","CP583","CP4957","CP871","CP1415","CP15","CP623","CP587","CP627","CP547","CP874","CP1089","CP542","CP614","CP2961","CP3342","CP515","CP1091","CP548","CP3701","CP680","CP5023","CP3347","CP461","CP870","CP178","CP1469","CP5016","CP225","CP4729","CP3404","CP3457","CP35","CP1281","CP628","CP486","CP5030","CP675","CP4080","CP838","CP139","CP4650","CP1095","CP1462","CP1172","CP4081","CP224","CP5032","CP4393","CP4785","CP868","CP4075","CP1777","CP4686","CP694","CP1238","CP5029","CP2168","CP331","CP4021","CP299","CP5031","CP1060","CP378","CP1146","CP1221","CP1094","CP176","CP2097","CP3908","CP1808","CP1467","CP2951","CP1103","CP4921"
"A1-03","1",-1.040475969,-1.982213544,-0.091599157,-1.808442,-0.660867629,-0.940475058,-0.792083998,-1.481940912,-0.358081638,-0.886181397,-2.091870552,-1.373283772,-1.029629961,0.081930947,-0.338154591,-0.552891979,-1.045550726,-1.070674369,-0.943205426,0.582354128,0.72781469,-1.011874355,1.264360184,1.945476343,0.973925417,1.131341756,1.137029558,0.815541423,1.602088554,0.969487152,1.720213582,-1.339991324,1.176192351,-1.384433484,-0.506109399,1.810604531,0.764753812,2.833374779,-0.133966068,0.087389755,-0.371989799,-0.035715593,0.6639521,0.195886953,0.522289195,-0.766882777,-0.001085464,-0.529651686,-1.646800929,0.093245991,0.307138392,-1.290887418,1.907486439,1.010261992,0.185536476,1.66085411,-0.948636563,0.621487382,-0.742842524,0.988079737,0.545338039,-0.191794161,-1.322262129,-0.34183642,1.126254745,-0.022674494,-0.454024222,-0.041281768,0.047533239,-0.456726423,-0.344479456,0.688861667,-0.196347181,0.818872249,-0.269107457,1.833267361,-0.65423167,-0.473486391,-1.061455406,-1.209598847,0.179292727,-0.193200133,-0.479473907,-0.685021854,0.330985654,-0.500322929,-0.016399178,1.256397527,1.453710007,-0.373305948,0.7362562,0.374568809,-0.90530255,1.331392444,-0.369725586,1.951925484,-1.117549129,1.224938268,1.394790674,0.699278723
"A1-06","1",-1.35302835,-0.349015768,-0.343709515,-1.228309005,-0.224877296,0.001742057,0.005140001,0.255625703,-0.38038026,1.331175041,-1.539117893,-0.127679481,-0.161378317,-0.466049395,0.071613964,-0.033076925,-0.710350078,0.175424666,-0.658754108,-0.312581281,-0.222544063,-0.733685378,1.746645866,-0.154416418,0.032619761,0.023442554,0.027696912,0.956826318,2.326462388,-1.11443582,0.349524737,-1.019451487,0.949340716,-0.40238956,-0.069635791,2.260294376,0.343551632,0.533226232,-0.450774453,2.591013108,0.123038336,-0.484376179,-0.3765406,1.375338158,1.332590776,-0.459542748,0.272816898,-0.221395939,-0.388878328,-1.134423046,0.400964174,0.306433575,-0.293725424,-0.047062548,-0.17720854,4.534921448,-0.088511799,0.710431471,-0.940408521,0.630746759,0.821952098,-0.308416212,-1.218329939,3.153537675,0.442308862,0.930162289,-0.548731561,-0.677699058,-0.019762235,-0.451205496,3.03489981,-1.028796258,-0.379535945,-0.243937927,-1.488189963,2.500019361,2.006437414,-0.182144239,0.27312887,-0.829433366,0.137589351,-0.444552991,1.177437715,-0.754939572,-0.125147746,-0.375044578,-0.183315309,1.884577481,0.048557729,1.155676041,-0.143469467,-0.825897215,-0.654073573,0.881477991,-0.32610412,2.691068553,1.20657474,3.419219204,-0.859329924,0.705081232
"A1-12","1",-1.159219269,0.771593282,-0.303950749,-0.871027571,0.090836243,-0.876466498,0.327546304,-0.249488079,-0.315699524,0.842421533,-0.698860806,0.179936534,0.409816105,-0.401372836,0.391185078,-0.206079445,-0.634440376,-1.785106044,-0.533668916,-1.334237544,1.271167073,-0.370120544,1.272080358,0.42502568,-0.848918512,0.303588814,0.308205637,0.388399316,-0.481290326,0.946085886,-0.040403801,-0.381300224,-0.239444018,-0.046402834,0.300214567,-0.350371871,-0.863751064,0.902043327,-0.43195869,-0.215980072,-1.078284489,-0.978201879,-0.781026455,0.676167829,-0.339531814,-0.079182273,0.213313856,-1.302157091,-1.482159323,0.530831367,0.445803189,0.71936971,0.114665673,0.038826529,-0.406255847,0.303772474,0.810441964,0.584907132,-0.903895767,-0.822506778,-0.24841529,0.483463615,-1.413584889,0.624359585,1.76255257,0.035769877,-0.778516412,-0.701147751,2.682291814,-0.646404533,0.650463028,-0.144820251,0.582046689,0.864488122,-1.570090277,0.011449585,0.642585552,-0.162147725,-0.972232658,-1.122552252,-0.27611932,0.452965804,0.314629289,0.186649866,-0.628435529,3.627175882,0.734081915,0.179137669,-0.743136582,-1.133116103,2.870129723,-1.221098208,1.256615964,-0.535140905,-0.315074154,0.984015064,0.356611154,-0.080221208,-0.843726913,0.053934734
"A1-15","1",-0.296425347,0.584079712,0.254893385,0.495402004,0.353624489,-1.312634435,0.19685874,0.321593548,0.1744804,-0.115867536,-0.856623789,0.679902868,0.632373304,0.682406431,-0.281838926,-0.859755405,0.128267621,0.637574426,0.220386586,-0.496742854,0.64476563,0.535101736,1.107641684,0.456013132,0.558420906,0.492556887,0.497418204,3.004937392,1.474387978,-1.119838649,1.69234938,0.194759056,1.406719201,2.615045321,-0.422502936,1.439415757,0.025469037,0.228917293,1.200177542,2.14437737,-0.099936711,0.139890158,0.043589382,-0.117551357,2.019129789,-0.337629669,-0.582094859,-0.496805397,-0.375516569,-0.902952737,-0.981722139,1.164841823,-0.183715831,-0.215459888,0.673958472,2.865375193,-0.052851455,-1.305669147,-1.119279285,1.973121266,0.416529245,-0.626056296,0.477704428,0.868244443,0.365443519,-0.558304591,-0.537400585,-0.296369298,0.942952712,-0.625176941,0.803578349,-0.621060559,-0.705009053,-0.087970111,-0.756034027,1.945484208,0.328625212,-0.485804802,-0.026605394,-0.659153595,-0.015315587,-0.740782431,1.727062412,-0.939582956,0.841465498,0.191658141,-0.64548515,2.412861393,-0.297735567,-0.84843322,-0.364406292,-0.190970528,0.57400039,1.440742655,-0.294923977,1.241769302,1.152857847,2.449586457,-1.090590407,1.156723177
"A1-18","1",-1.201114359,0.680092533,0.419064622,-0.908514782,0.216575148,-1.066470867,0.752804729,0.709450301,0.386030193,1.628938138,-0.949272036,0.95917892,1.320460924,-0.950064894,0.791404914,0.257769855,-0.566307831,0.270295216,-0.337552714,-0.96892426,0.554741186,-0.163394686,1.345568363,1.479959192,-0.903886302,1.647764755,1.654120727,0.11538035,0.541156344,1.630913645,0.423393331,-1.041774838,0.494620779,0.253885858,-0.19351778,0.710156844,-1.254366321,1.5820936,-0.183099759,0.853198636,-1.448805049,-0.828839333,-0.872504563,0.488703947,0.641221059,-0.7334524,0.161880527,-1.687046741,-1.18106105,0.681199983,0.204276623,0.653264009,-0.050954929,0.977193881,-0.305223356,0.192339254,0.859757371,0.956096496,-0.635749631,0.638751849,0.965233252,-0.216788993,-1.034564259,1.434605254,1.060431863,0.171292059,-0.316015506,-0.257226832,1.520059146,1.997524463,1.483730813,-1.055523562,-0.256156304,0.35816017,-1.384769698,0.386858449,0.885317083,-0.267105973,-0.963839112,-1.148675747,0.147028748,-0.314719479,-0.580675983,-0.580740932,-0.17385821,-0.02438673,0.176595696,0.075900142,0.334212733,-0.459784466,1.803105743,-1.229186725,0.230090352,-0.330488113,0.229369382,2.378025409,0.556529423,2.457108983,0.426279681,-0.111608048
"A1-21","1",-0.938094507,-1.323003769,0.001423432,-1.092503881,0.527514163,-0.724808484,0.634375348,-0.061542145,0.551659725,-0.803227494,-1.261965271,1.312217327,1.82500382,-0.62665185,-0.655942836,0.059979708,-0.534722576,0.012129652,-0.368880958,-0.849910437,1.467039993,-0.114475649,0.988832061,1.900385607,-0.442647107,1.842994059,1.849602627,0.250002392,0.537378399,1.461127457,0.263124507,-0.846222625,-0.410208989,0.872386397,-0.333823338,0.706238186,-1.163857127,1.956143439,0.117429086,1.358437542,0.014598513,-0.099467731,-0.89019776,1.629851243,-0.270695317,-0.197544359,0.334392112,-0.259133348,-1.4278383,0.426922618,-0.642962948,0.087564071,0.592326582,0.788812757,-0.546418636,-0.209752503,-0.056846146,0.505497809,-1.410768403,0.687924235,0.3292658,0.177016687,0.555500846,0.507199371,1.411853075,-0.467399473,-0.598826963,-0.531810561,0.517897571,0.125103428,0.597366774,-0.995382232,-0.044556356,1.636589498,-0.431914127,0.557979731,0.483076989,0.203542437,0.596504797,-1.248437926,-0.606645875,-0.134914131,-0.507369312,-0.95796001,-0.188504783,0.015896,0.162889023,0.275482351,-0.343099833,-0.555923351,5.050926441,-0.984252449,1.029155883,-0.501405926,-0.261308269,0.622074612,0.238453517,1.43739447,0.840854889,0.976328161
"A1-24","1",-0.783593651,-0.0418329,-0.098018279,-1.191482043,0.03488726,-0.618905814,0.592172827,-0.017091993,0.036653794,-0.217950438,-1.099147702,0.327901051,0.423534143,0.237324314,-0.082480641,0.059722824,-1.015806829,0.620657464,-0.812917533,0.137486057,0.469699907,-0.655863814,-0.026159054,2.297889606,0.407377801,1.560322651,1.566565487,3.398345816,-0.347282047,0.283615506,0.086350221,-0.511766477,0.293544467,-1.212093902,-0.440544695,-0.211372321,0.522836618,1.480947635,-0.594478929,-0.251699579,-1.287031044,0.899887814,0.775628426,0.429125728,-0.594214241,-0.761914329,-0.01106767,-1.536281558,-1.229513901,0.361728899,-0.37035741,-1.123367554,-0.389756943,0.373748182,0.223546474,1.536864619,-0.912065707,-0.594106328,0.751007432,-0.90968298,1.811040016,-0.290630079,-0.336314973,-0.115721608,1.38719177,-0.381382061,-0.376075267,0.25731372,2.01881878,-0.908704593,-0.002559363,-0.961420506,-0.29938013,1.441659588,-1.538977121,0.08524188,-0.219115416,-0.764045742,-1.197307082,-1.176980596,2.347498671,-0.348924572,-0.881389146,-0.891195504,-0.688226468,-0.072516286,-0.140211703,0.518392311,0.141887801,-1.479487897,2.055851879,0.074264172,-0.377005906,1.987089705,-0.327062987,-0.094538072,-1.100734301,-0.069445654,0.535267168,-0.002933637
"A1-30","1",0.303349291,0.190485724,1.794764085,-0.151900259,1.92370959,-1.057647464,2.409250166,-0.124370745,1.962709271,0.132952985,-0.492363966,2.325037259,2.53896957,-0.607713332,1.924678812,0.362182986,0.543746523,0.833801009,0.848770274,-0.160131902,1.96336537,1.043563879,1.125765888,2.553042767,0.562451541,3.80983631,3.818989658,0.375498973,-0.320920657,0.448071429,2.210296045,1.668378397,1.164789861,1.704433337,0.143515621,-0.184029074,-0.215911886,1.894100435,0.997805057,-0.235093042,0.244429754,-0.391258506,0.471452068,1.281224152,0.589789492,-0.199503169,-0.313368462,-0.276781424,-1.467354468,0.156665786,-0.211116384,1.968424019,0.348442859,0.062337937,-0.13384767,2.444499277,0.830320884,1.198397091,-1.391482743,1.520942766,0.216674435,-0.273286975,1.56747936,4.989758731,2.585525111,0.004091134,-0.72958471,1.02480668,1.296109557,-0.796539703,5.173232676,-1.023554582,-0.343088727,0.670765962,-0.914464451,0.095864858,4.243062404,-0.492035907,-0.392949141,-0.448601789,-0.142413056,-0.408609607,-0.315832435,-0.948158677,-0.407119219,-0.371431642,-0.379859227,0.358585071,-0.17786981,-1.112363502,1.702090937,0.179474824,0.289855085,0.582802401,-0.340623222,1.342303815,3.101825544,-0.057872619,-0.874835578,1.610221412
"A1-36","1",-0.722654974,2.441296351,-0.82915166,-0.979523521,-0.762998061,-1.450804515,-0.674316602,-0.420008778,-0.824450419,0.433732755,-1.201471582,-0.396286369,-0.380709675,-0.143815632,-1.80491844,-0.15553885,-0.835293472,-0.117014438,-0.718932688,0.032175421,-0.388337451,-0.506363626,1.88842345,-0.754146754,0.422592854,-0.880478615,-0.877393787,-1.110862066,2.13915829,0.538433006,0.200126451,-0.699858941,0.842357554,-0.074420121,-1.228458621,2.421824969,0.593485522,-0.312268341,-0.618186745,1.056079461,-1.367054424,-1.132976903,1.137540277,-1.046736854,0.361759867,-0.669466931,0.021185098,-1.582058565,0.576579798,-0.741637263,-1.595696512,0.035781284,-0.568021795,0.698219887,1.297629144,0.176053895,0.348686339,0.242724637,-0.394961203,-0.391818784,1.007729293,-0.295862882,-0.524715305,-0.145148129,-0.546134484,-1.677906602,-0.775982959,1.659416609,2.778929073,-0.671430406,-0.121489257,-0.945321479,-0.371058424,-0.044002692,-1.170791526,1.383569122,-0.412776773,0.02368612,-1.563883316,-1.043133559,0.358520946,-0.431712881,0.154969285,-0.809794138,-0.563266857,-0.56444972,-0.128399889,-0.311911294,-0.879698423,-1.423620441,-0.366551587,-0.585059388,-0.909814045,0.869212067,-0.283423251,1.749977042,-0.008795778,1.50665587,-0.460078909,-0.128877082
"A1-39","0",-1.184540445,-0.217907981,-0.467577512,-0.900034671,-0.030881675,-0.087975598,0.46503252,-0.660773603,-0.001573062,2.05881694,-0.902924879,0.44246544,0.568841659,0.96479678,0.55057784,-0.227133919,-0.646484852,-0.17897184,-0.456713911,0.052584533,0.320245008,-0.366224072,-0.013278041,1.037669818,1.170486634,-0.049735984,-0.045576308,0.36760036,1.225468099,0.828563411,-0.256510444,-0.52497298,1.096860017,-0.566766031,-0.331228031,1.419956472,1.591174223,1.348951538,-0.656009373,-0.421105832,-0.413142365,-0.488668247,1.401579006,0.757346244,0.695730477,-0.350409164,1.044346317,-0.694534979,-1.397098612,-0.744681222,0.057722478,0.392101019,0.040961936,-0.156138471,-0.500148045,-1.03458001,1.884093615,-0.063627826,0.393024314,-0.134649291,0.876677869,0.036138157,-0.362356546,1.115592416,0.925682812,0.669437429,-0.490395401,1.026275241,0.74006048,0.029691125,1.110924998,-0.896325518,0.108395084,6.076699539,-0.756001448,2.272120542,0.889759824,3.843291667,-0.234813683,-1.211264306,0.301785472,0.091544872,-0.589375253,-0.928882797,-0.53435757,-0.482414812,0.195753448,0.144399884,-0.400993798,-0.409996087,0.709813053,0.470906476,-0.216910775,1.660223753,-0.157866967,2.252600239,0.257227454,-0.392413114,-0.8307861,0.350978375
