"Sample","Class","CP647","CP876","CP596","CP606","CP608","CP555","CP600","CP562","CP597","CP636","CP617","CP595","CP602","CP2492","CP590","CP609","CP615","CP603","CP610","CP1101","CP885","CP589","CP3097","CP549","CP1097","CP573","CP583","CP4957","CP871","CP1415","CP15","CP623","CP587","CP627","CP547","CP874","CP1089","CP542","CP614","CP2961","CP3342","CP515","CP1091","CP548","CP3701","CP680","CP5023","CP3347","CP461","CP870","CP178","CP1469","CP5016","CP225","CP4729","CP3404","CP3457","CP35","CP1281","CP628","CP486","CP5030","CP675","CP4080","CP838","CP139","CP4650","CP1095","CP1462","CP1172","CP4081","CP224","CP5032","CP4393","CP4785","CP868","CP4075","CP1777","CP4686","CP694","CP1238","CP5029","CP2168","CP331","CP4021","CP299","CP5031","CP1060","CP378","CP1146","CP1221","CP1094","CP176","CP2097","CP3908","CP1808","CP1467","CP2951","CP1103","CP4921"
"A1-09","1",-1.217403411,-0.859499408,-0.262251686,-1.636757344,-0.89208874,-0.271332323,0.463506169,-0.267089955,-0.230122856,0.824924352,-1.485993411,-0.858504177,0.026244688,-0.71712483,0.509668797,-0.411995307,-0.89915356,-0.644238136,-0.79450633,-0.265150434,-0.066087005,-0.875868122,-0.973016794,1.313157487,-0.460938844,1.440667836,1.446755858,0.500634444,0.626016256,0.56638445,0.398012652,-0.969551341,0.265003728,-1.514115491,0.068921375,0.798177448,-0.446855799,2.239951095,-0.962662672,1.101263043,-0.900703439,0.46484482,-0.414114912,2.314001547,-0.008638705,-0.227525619,0.239474655,-1.126625195,-1.657252052,0.773793084,0.333584079,0.303855378,1.293904792,-0.081935283,-0.316595137,1.186972389,0.842179949,0.046601968,-0.763288881,0.567678947,1.04820062,0.0444038,-1.41736195,3.098183799,1.226238865,0.424214263,-0.281932215,-0.405811023,-0.062966235,0.745425547,3.249091706,-0.291717449,0.144978231,0.041517586,-0.573018997,1.112170696,1.976120253,-0.265769302,-0.528346615,-1.259689664,-1.069775825,0.103958024,-0.283593289,-0.017034718,-0.550959945,1.965025758,0.09592161,2.552987197,0.99837477,-0.38766201,0.653738257,-0.502360798,-0.428818423,-0.410428005,-0.072310524,-0.022341775,0.812319363,1.832443616,-0.294256812,0.422298883
"A1-27","1",-1.054159049,-0.994506384,0.856324859,-1.178073336,0.714262459,-1.01025509,0.856174434,-0.72432811,0.904301108,0.334529467,-0.84502903,1.319265078,1.498264463,0.462020254,0.066962771,-1.126894502,-0.56877738,-0.024242005,-0.287420092,-0.73138741,1.406868149,-0.08000395,0.646005002,1.75636457,-0.141589249,2.482159577,2.489595123,3.024411325,0.098654545,0.988005155,1.359481606,-0.934678274,0.34094099,-0.129644404,-0.807029722,0.251173624,-0.622513412,1.527823533,0.137808049,-0.52501394,-1.346341028,1.41971376,-0.15113585,0.149743914,-0.385239222,-0.556970923,-0.000654412,-1.581100878,-1.177269295,0.671531119,-0.218472601,0.078485899,1.597532795,0.14337129,1.799602609,0.476493463,-0.714852456,1.75384638,-0.91533478,1.042634797,0.139393391,0.137225547,-0.754154041,0.725548431,1.919992496,-0.312329802,-0.043748065,0.64236668,2.124523564,-0.903988293,0.628204862,-0.955424171,-0.196365571,1.206497997,-1.173734198,0.521187102,0.434582478,-0.581762224,-1.092011666,-1.196179781,0.113227332,-0.176187343,0.885965778,-0.914031017,-0.516607233,3.663898393,0.267062764,0.122368016,-0.295709242,-1.065490979,6.623709615,-0.935637417,-0.882078037,0.601378255,-0.320954872,0.166133985,-0.116125276,-0.286991258,-0.965094504,0.780633308
"A1-33","1",-1.77302538,1.213815894,-1.843449745,-2.0735234,-1.94753351,-0.487496737,-1.407812378,-2.049577306,-1.816721276,1.098747701,-2.07183571,-1.565883889,-1.516715042,-0.63819279,0.31249742,-1.777343967,-1.60511368,-1.497605225,-1.585511208,-0.169019716,-0.706732954,-1.519493774,1.738723281,-0.112279054,-0.544968576,-1.149003949,-1.14626655,0.375804392,1.947567088,1.034995564,0.702410899,-0.955986817,-0.010424465,-1.464239258,-0.824461155,2.291228146,-0.525261591,0.99870607,-1.228122082,2.065308703,-1.478519724,-0.666844196,0.152222097,-0.34082261,1.280445288,-0.421714983,-0.629881541,-1.690965525,-0.751654262,-0.655931636,0.772395695,0.640108523,-0.502882775,0.908872519,-0.403886445,1.264562173,0.992314369,0.97864172,-0.450404717,0.035586477,1.925151033,-0.390298482,-1.372217995,0.382626872,-0.18148463,0.530202967,-0.581311031,0.275297481,0.307314424,0.951207145,0.356769999,1.052673357,-0.506412325,0.310964489,-1.471228148,1.066190741,-0.002603093,1.471595004,-1.331511878,-0.727767676,0.903384929,-0.564326962,0.488780517,1.545949755,-0.56627862,-0.032299947,-0.31166288,3.359959409,0.433368773,-0.630895412,-0.356345428,-0.503548383,-0.86605592,0.75247329,0.042031657,2.275303723,0.619267954,2.446298149,-0.470379511,-0.255792735
"A1-60","0",-1.328389461,-0.909302335,-0.800376495,-1.362259512,-0.804197769,-0.819229381,-0.811894181,-1.523597205,-0.679917477,-0.49281508,-1.646486183,-0.595066912,-0.644938845,-0.524679778,-0.974326247,-1.074220373,-1.093509843,-0.81468275,-1.006959836,0.104251483,0.439279817,-0.729579578,3.135208338,-0.545500908,1.012519976,0.268960255,0.273532274,-1.049248465,2.35963748,-0.585063551,-0.081467293,-0.330919544,1.407954034,-0.706928973,-1.131580423,2.596369122,0.235334126,-0.191002762,-0.357330353,1.278597434,0.890819882,-0.218953473,0.946781883,0.17130066,0.524809062,-0.128414124,0.78640133,0.52282987,-0.302147905,-1.172012404,0.060726848,0.43537429,1.486803739,1.724241243,-0.788855878,-1.089752891,2.717942447,0.444628249,-0.789412767,0.583497349,0.515223517,1.092770909,-1.396677951,0.263353321,0.347190245,-0.061793621,-0.491145916,0.864414137,0.699582514,-0.582896997,0.331719631,-0.939077681,0.938602384,-0.275424448,-0.395431344,2.714010255,0.379105639,3.449362671,-0.322362113,-0.289262346,-0.871934923,0.771188563,0.939289664,-0.95695441,-0.478407096,-0.289933282,1.047832929,0.896968447,-0.184867606,-1.532484038,-0.342765293,0.083658825,0.353542069,1.220402052,-0.386394386,0.235206424,1.091422558,1.676550074,-0.696755347,2.001284731
"A1-69","0",-1.290647289,1.303109704,-0.012252812,-0.642819004,0.40335636,-1.414629415,0.59944253,-0.572065131,0.084199349,0.816530979,-0.754913228,0.487260425,0.633083397,-0.181642574,0.681672111,-0.208961605,-0.309893587,-0.576342722,-0.183385659,0.270553686,0.68511136,-0.001304602,-0.313733609,0.372538042,-0.010436414,-0.461058716,-0.457431226,2.611410422,-0.032340514,1.536655298,0.97563329,0.300867788,0.266263014,0.432065645,-1.07866758,0.115299524,0.097298179,0.944934824,-0.727404942,-0.967702377,-0.870356082,1.200293904,0.394636097,0.638237936,-0.731021356,-0.753545295,0.709813222,-1.117965753,0.395518957,-0.800263805,0.218925258,-0.680708656,-0.023917939,0.761682998,-0.520033774,-1.063345782,0.665601775,1.597221397,-0.110523045,-0.032576572,2.501829055,1.309747959,0.382390348,-0.302802892,1.553103771,0.421636202,-0.444727808,0.685796496,2.867718884,-0.588349912,-0.386325473,-0.816235953,1.285996184,2.191510997,-1.493748946,0.473920614,-0.423924601,0.503766268,-0.092959624,-1.107728914,-0.292524632,1.04362977,-0.707433059,-1.034236299,-0.635961416,-0.34823449,1.759476234,1.391939425,-0.509028606,-0.670856231,3.375567655,-0.041140609,-0.746331367,-0.773519805,-0.33357469,-0.083422685,-0.649637347,-0.686513346,1.60207428,-0.260495955
"A1-72","0",-1.265758582,0.202654206,-0.431906722,-1.330018808,-0.319732381,-0.807330715,0.430189524,-0.635007292,-0.297106192,0.942377934,-1.189958603,-0.264582263,-0.815415521,0.246384098,0.664110987,-1.100403346,-0.803835647,-0.329313689,-0.635570897,0.909635243,-0.105185013,-0.394000262,-0.345668371,-0.236522314,1.7927551,-0.037160864,-0.032984917,1.149688903,1.330981745,-1.305018981,0.704886942,0.196556322,0.938868576,0.91827769,-0.351849427,1.529400079,1.43240778,-0.015390305,-0.289138593,-0.673790098,-0.803232842,-1.164202625,0.539213799,-0.338977679,0.981676591,-0.036575314,0.973096315,-0.902010181,-1.28173412,-0.860646937,-0.135765606,-0.794567839,-0.577018078,0.616143671,-0.594161826,-0.866934729,2.951759234,0.952171238,0.435701973,0.380773058,0.617019842,0.921460524,-0.108749061,-0.239085362,-0.081443338,0.341567631,-0.358705462,1.40420808,2.516259505,0.507995803,-0.187726733,-0.349849719,1.032695136,3.236338982,-0.826930643,2.165292695,-0.316370891,0.769183386,0.106582529,-1.120636393,-0.313555704,0.727442918,-0.738237947,-0.813673719,-0.523910916,0.076169384,0.999145608,0.16134442,0.752321241,-0.651937802,-0.129089044,0.588791504,-0.812205597,0.458536173,-0.076182924,1.010076615,-0.717910966,-0.427286225,0.077897674,0.125590578
"A2-15","1",2.168659245,-0.259217862,1.372233967,1.014165638,1.849194392,0.307476638,2.310501548,0.66178039,1.286465706,0.413944579,0.626623554,2.030012309,2.422750803,1.294973766,1.65497899,1.127811399,3.002308137,2.093171088,2.98979329,0.217785058,1.376557352,2.928241694,-0.823191412,0.080254089,0.432064329,0.760453795,0.765661728,-0.803632302,-0.342314456,-1.397069211,0.949498582,2.897095559,1.570668543,2.104946597,0.419860183,-0.206219707,0.051695617,0.041151694,2.799369635,0.999651151,1.200457035,0.37788886,0.1745143,0.168531192,1.378540976,-0.104367577,0.648893833,1.020784233,0.42209735,1.508054209,-0.267034992,-0.092124267,-0.314343318,-0.392627414,0.959935933,0.210825103,-0.428466635,-0.159565038,-0.502096007,1.480185888,-0.059766827,-0.726172477,2.74200136,-0.273074776,0.389337293,0.920458952,-0.380379518,-0.129146081,0.006600518,-0.838324889,-0.335792656,-0.812539826,-0.59002795,-0.392887491,0.504441282,-0.256788065,-0.280520954,0.154544444,0.739049562,1.874062619,-0.802602975,-0.523510418,-0.394624928,-0.675865128,1.981192526,-0.48481821,-0.828518281,1.025849865,0.13857453,1.743594568,0.1958318,0.273408423,1.414422506,0.963942029,-0.390647951,-0.744704003,0.054723894,0.061284903,-1.21682022,2.255082556
"A2-24","1",0.704104186,-0.215474035,0.283143454,1.009934018,0.168957212,1.041439386,0.118565062,0.918608329,0.377435772,0.374775139,1.071674035,0.230282805,0.585809884,2.206784821,-0.317776875,0.529833968,0.206655521,0.434919764,0.232402957,1.336522166,1.39255632,0.220924638,0.015560456,-0.418661176,0.517676419,-0.107160848,-0.10307547,1.217593616,-0.308508651,2.145871597,0.178672818,0.100180885,-0.062782283,0.485039454,0.376109506,-0.171154771,0.682111795,-0.244884715,1.137041842,-0.789185205,-0.139476306,-0.643456197,1.377648312,-0.397497517,0.465871732,4.568098874,0.815230065,-0.267177747,-0.059746545,0.124972644,-1.55140062,-0.717752355,-0.741105915,-0.354897401,-0.018031055,-0.274223821,-0.642871524,0.441045995,-0.486024431,-0.017313964,-0.333761563,-0.215279972,0.716563845,-0.747815459,0.193592053,-0.626931213,-0.484242409,0.617848355,0.579950885,-0.86842177,-0.704974211,-0.872357188,-0.3137046,0.001434303,-0.308147644,-0.215411951,-0.736683625,-0.83761632,0.067196805,0.302491158,0.858483228,-0.291638868,-0.781038305,-1.036558395,-0.425558219,0.179601663,-0.261921293,-0.178752629,-0.421903679,1.513473457,-0.491717052,0.935977718,-0.107489036,1.528074142,-0.393014106,-0.621052504,-0.93960986,-0.66951491,0.242507732,1.745732698
"A2-27","1",1.551615547,-1.122298156,1.999930517,1.581076732,1.317247889,2.48807101,1.210609691,0.85639264,1.233771346,0.30431053,0.349761997,1.359014675,1.462235226,-0.018093834,0.92942995,1.015958506,1.153911341,0.685344256,1.154528873,0.232351545,2.025984776,1.123521857,-1.170755996,0.538468929,0.444004925,0.997851542,1.00336663,1.537691478,-1.010695692,-0.047100541,0.506330003,0.623927146,0.200523148,0.296787281,1.569438901,-0.899495467,0.681221377,0.531714177,0.006082264,-1.046374473,-0.135213759,-0.325582106,0.209937767,1.142031389,-0.466334966,3.208601882,0.27385775,-0.158036059,0.778823714,-0.512611631,-0.722925574,0.776356462,1.344739227,-0.497109878,0.662773806,-0.925521825,-1.043986755,1.053020817,0.141589916,-0.518736771,-0.373416381,0.895035316,0.397153719,-0.615106989,1.129010761,-0.330656479,-0.600785015,-0.190163376,-0.241481775,-0.454248216,-0.57433044,-0.909887934,0.588921601,-0.148908954,-0.891329726,-1.091767755,-0.441244186,-0.878180717,-0.591781118,-0.533434112,-0.59612328,0.571143829,0.807925623,-0.589306265,-0.510992066,0.268753997,0.893512807,-0.556689827,-0.294562074,0.422177016,-0.181753707,0.521343066,0.763553306,-0.140115438,-0.393468796,-1.18723845,0.440755202,-0.957299283,-0.38150965,-0.65245823
"A2-42","0",-1.147963234,0.234509098,-1.900308535,0.966400888,-1.860182141,-0.063636908,-1.327642651,-1.751831003,-1.761851874,-0.296262799,-0.5192262,-1.651262943,-1.602041292,0.108744276,0.058959508,-1.696028474,-0.784021929,-1.834709378,-0.851997291,0.392251206,1.144566007,-0.894170046,-0.370885115,-0.862552066,0.327086589,-1.031480816,-1.02859136,0.648873994,-0.551006454,0.031183055,0.480514646,-1.059997084,0.030516141,-0.828246294,-0.974319176,-0.422684646,0.421770647,-0.784452414,-1.731405033,-0.816893457,-0.502759487,-0.777398531,0.195260004,-1.0602592,-0.321814596,1.29868685,0.087006874,-0.500911746,-0.141768378,-0.126973921,-0.12789676,-1.1689474,-0.564627451,0.762519178,0.42924658,-0.348614885,-0.40633748,-0.727248758,-0.269886926,-1.07436247,-0.794173297,-0.220220529,-1.332536798,-0.619741402,-0.636301376,-0.167197053,-0.271215072,0.301145917,0.099252781,-0.751467022,-0.428813787,-0.244821305,-0.315135798,-0.395541245,-0.510810886,0.440439036,-1.093127666,-0.296298646,0.43251864,-0.33794623,-0.708771435,-0.351971487,-0.627226976,-0.335878406,-0.597129189,-0.115932489,-0.097973612,-0.616145641,-1.461378476,-0.499120066,0.433742236,0.300465995,-0.20668158,0.143443972,-0.365367577,-0.434989313,-1.090012835,-0.874621613,-0.410118696,1.928574457
