"","x"
"CP647",0.0636085247844625
"CP606",0.055734969760193
"CP596",0.0541645284029977
"CP608",0.0537552937061219
"CP600",0.0515572134569036
"CP555",0.0490502207662157
"CP876",0.0484778693223486
"CP562",0.0482960757037009
"CP597",0.0470631943697354
"CP602",0.0422153869726304
"CP590",0.0419061567603438
"CP595",0.0415985015797204
"CP617",0.0405084455608877
"CP636",0.0365728942400791
"CP603",0.036042997861241
"CP609",0.0348919652018073
"CP2492",0.0318561368392254
"CP615",0.0298727658461343
"CP1101",0.0293521800233828
"CP610",0.0277352395400902
"CP589",0.0252043111454333
"CP1415",0.0238907221554042
"CP1091",0.0228265822936618
"CP871",0.0221651442972068
"CP1097",0.0215819700836144
"CP35",0.0213996226430439
"CP4957",0.0205492701502138
"CP627",0.0202508702508964
"CP583",0.0196775223873673
"CP573",0.0196648040339683
"CP623",0.019643684053703
"CP2471",0.0195648575243455
"CP549",0.0194196567100184
"CP2961",0.019076335089449
"CP3097",0.0188317870395698
"CP870",0.018455919450683
"CP139",0.0184222604568878
"CP1089",0.0183653523350338
"CP15",0.0177829070993326
"CP547",0.0167219428689369
"CP548",0.0162917313075608
"CP587",0.0160841950822275
"CP874",0.016080203254534
"CP178",0.0154245003426484
"CP763",0.0153915432105589
"CP3404",0.0152124814201175
"CP675",0.0151587263426468
"CP725",0.0150929071775424
"CP1146",0.0149510736597601
"CP5021",0.0144969283313427
"CP221",0.0144511507330985
"CP885",0.0142166947615325
"CP4819",0.0140310740419363
"CP4696",0.0140246070586817
"CP2951",0.0138806925699931
"CP1095",0.0138771288420199
"CP515",0.0135758814829429
"CP1462",0.0135333531397399
"CP1947",0.0131693612623587
"CP1221",0.0130832239064549
"CP4650",0.0129611561310299
"CP1094",0.0128885081454745
"CP115",0.0126613164865325
"CP461",0.0126142556285924
"CP1093",0.0126077899657174
"CP488",0.0121892176188358
"CP2751",0.012158751864147
"CP1238",0.0119874833565443
"CP614",0.0119558487888498
"CP628",0.0119143449009946
"CP688",0.0118257287655758
"CP1736",0.0117405636941435
"CP1957",0.011696130367646
"CP3347",0.011670257719919
"CP3342",0.0116629467651184
"CP542",0.0116267474362273
"CP129",0.0115981673815144
"CP530",0.0115806067585811
"CP1929",0.0115735457594704
"CP3889",0.0115511900759521
"CP74",0.0113603956355515
"CP1737",0.0112716685355751
"CP2251",0.0112423239922973
"CP1180",0.0111602583823864
"CP2563",0.0110099852959162
"CP128",0.010941576808328
"CP1734",0.0106003942721013
"CP621",0.0105931039673378
"CP1281",0.0105607651192452
"CP1300",0.0103547976107165
"CP4080",0.0102532198995061
"CP1172",0.0102412998328604
"CP2656",0.0101327083512968
"CP1469",0.0101030041804264
"CP4393",0.0100954514467044
"CP534",0.0100730542074078
"CP98",0.0100688199676935
"CP1739",0.0100480285684287
"CP1223",0.0100098488132513
"CP687",0.00999700816022904
